"Ausprägung","Jahr","Raumbezug","Bevölkerungsdichte","Hauptwohnsitzbevölkerung","Fläche_in_km²","BezirksID"
"insgesamt",2002,"Milbertshofen",4610,61655,13.4,11
"insgesamt",2002,"Schwabing",2340,60060,25.7,12
"insgesamt",2002,"Bogenhausen",3054,72429,23.7,13
"insgesamt",2002,"Berg am Laim",5984,37793,6.3,14
"insgesamt",2002,"Trudering",2101,47186,22.5,15
"insgesamt",2002,"Ramersdorf",5034,100145,19.9,16
"insgesamt",2002,"Obergiesing",7808,44616,5.7,17
"insgesamt",2002,"Untergiesing",5769,46495,8.1,18
"insgesamt",2002,"Thalkirchen",4375,77659,17.8,19
"insgesamt",2002,"Hadern",4618,42563,9.2,20
"insgesamt",2002,"Pasing",3675,60616,16.5,21
"insgesamt",2002,"Aubing",1102,37532,34,22
"insgesamt",2002,"Allach",1740,26903,15.5,23
"insgesamt",2002,"Feldmoching",1846,53010,28.7,24
"insgesamt",2002,"Laim",9194,48606,5.3,25
